state,date.based,protection.dates,start,end,summer,temp.based,low.temp,high.temp,heat.advisory,freezing,ill,elderly,children,disabled,hardship,Seasonal Policy
Oklahoma,yes,11/15 - 4/15,15-Nov,15-Apr,,yes,32,103,,,,,,,,
Oregon,no,,,,,no,,,,,,,,,,
Pennsylvania,yes,12/1 - 3/31,1-Dec,31-Mar,,no,,,,,,,,,,
Rhode Island,yes,11/1 - 4/30,1-Nov,30-Apr,,yes,,,x,,x,x,x,x,,"No termination if National Weather Service issues a heat advisory or excessive heat warning.. Disconnect ban for elderly, disabled, seriously ill, households with child under 2 years old, or recipients of unemployment compensation, federal heating assistance or have income 75% or less of state median income."
South Carolina,no,,1-Dec,31-Mar,,yes,32,,,x,,,,,,Disconnection is suspended when the average forecasted temperature is 32 F or below for a 45-hour period.
South Dakota,yes,11/1 - 3/31,1-Nov,31-Mar,,no,,,,,,,,,,
Tennessee,no,,,,,yes,32,,,,,,,,,
Texas,no,,,,,yes,32,,x,,x,x,,,,Or during heat advisory. No disconnect for elderly 65 years or older and critical care customers until Oct. 1.
Utah,yes,11/15 - 3/15,15-Nov,3/315,,no,,,,,,,,,,
Vermont,yes,11/1 - 3/31,1-Nov,31-Mar,,no,10,,,,x,x,,,,10 or 32 F for households with elderly age 62 or older.
Virginia,no,,,,,no,,,,,x,,,,,Disconnect delay for persons with a 'Serious Medical Condition Certification Form.' This is a year-round policy.
Washington,yes,11/1 - 3/31,1-Nov,31-Mar,,no,,,,,,,,,,
West Virginia,no,,,,,no,,,,,x,,,,,Disconnection may be delayed when termination of service would be especially dangerous to the health or safety of a member of the customer's household.
Wisconsin,yes,11/1 - 4/15,1-Nov,15-Apr,,yes,,,,,,,,,,Prohibited when heat advisory from the National Weather Service is in effect.
Wyoming,yes,11/1 - 4/30,1-Nov,30-Apr,,yes,32,,x,,,,,,,
