"Notes"	"State"	"State Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Arizona"	"04"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2005"	"2005"	76	5839077	1.3
	"Arizona"	"04"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2006"	"2006"	88	6029141	1.5
	"Arizona"	"04"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2007"	"2007"	33	6167681	0.5
	"Arizona"	"04"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2008"	"2008"	40	6280362	0.6
	"Arizona"	"04"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2009"	"2009"	64	6343154	1.0
	"Arizona"	"04"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2010"	"2010"	66	6392017	1.0
	"Arizona"	"04"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2011"	"2011"	64	6482505	1.0
	"Arizona"	"04"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2012"	"2012"	63	6553255	1.0
	"Arizona"	"04"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2013"	"2013"	62	6626624	0.9
	"Arizona"	"04"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2014"	"2014"	52	6731484	0.8
	"Arizona"	"04"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2015"	"2015"	62	6828065	0.9
	"Arizona"	"04"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2005"	"2005"	37	5839077	0.6
	"Arizona"	"04"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2006"	"2006"	22	6029141	0.4
	"Arizona"	"04"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2007"	"2007"	27	6167681	0.4
	"Arizona"	"04"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2008"	"2008"	35	6280362	0.6
	"Arizona"	"04"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2009"	"2009"	41	6343154	0.6
	"Arizona"	"04"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2010"	"2010"	34	6392017	0.5
	"Arizona"	"04"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2011"	"2011"	40	6482505	0.6
	"Arizona"	"04"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2012"	"2012"	28	6553255	0.4
	"Arizona"	"04"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2013"	"2013"	56	6626624	0.8
	"Arizona"	"04"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2014"	"2014"	35	6731484	0.5
	"Arizona"	"04"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2015"	"2015"	32	6828065	0.5
	"Arkansas"	"05"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2005"	"2005"	10	2781097	Unreliable
	"Arkansas"	"05"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2007"	"2007"	10	2848650	Unreliable
	"Arkansas"	"05"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2010"	"2010"	19	2915918	Unreliable
	"Arkansas"	"05"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2011"	"2011"	18	2937979	Unreliable
	"Arkansas"	"05"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2012"	"2012"	14	2949131	Unreliable
	"Arkansas"	"05"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2015"	"2015"	17	2978204	Unreliable
	"Arkansas"	"05"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2008"	"2008"	10	2874554	Unreliable
	"Arkansas"	"05"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2010"	"2010"	15	2915918	Unreliable
	"Arkansas"	"05"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2011"	"2011"	13	2937979	Unreliable
	"Arkansas"	"05"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2012"	"2012"	12	2949131	Unreliable
	"Arkansas"	"05"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2013"	"2013"	10	2959373	Unreliable
	"Arkansas"	"05"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2014"	"2014"	15	2966369	Unreliable
	"Arkansas"	"05"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2015"	"2015"	15	2978204	Unreliable
	"California"	"06"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2005"	"2005"	51	35827943	0.1
	"California"	"06"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2006"	"2006"	128	36021202	0.4
	"California"	"06"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2007"	"2007"	48	36250311	0.1
	"California"	"06"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2008"	"2008"	36	36604337	0.1
	"California"	"06"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2009"	"2009"	44	36961229	0.1
	"California"	"06"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2010"	"2010"	34	37253956	0.1
	"California"	"06"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2011"	"2011"	21	37691912	0.1
	"California"	"06"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2012"	"2012"	50	38041430	0.1
	"California"	"06"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2013"	"2013"	55	38332521	0.1
	"California"	"06"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2014"	"2014"	42	38802500	0.1
	"California"	"06"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2015"	"2015"	43	39144818	0.1
	"California"	"06"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2005"	"2005"	31	35827943	0.1
	"California"	"06"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2006"	"2006"	31	36021202	0.1
	"California"	"06"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2007"	"2007"	53	36250311	0.1
	"California"	"06"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2008"	"2008"	61	36604337	0.2
	"California"	"06"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2009"	"2009"	53	36961229	0.1
	"California"	"06"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2010"	"2010"	52	37253956	0.1
	"California"	"06"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2011"	"2011"	63	37691912	0.2
	"California"	"06"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2012"	"2012"	50	38041430	0.1
	"California"	"06"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2013"	"2013"	62	38332521	0.2
	"California"	"06"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2014"	"2014"	51	38802500	0.1
	"California"	"06"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2015"	"2015"	45	39144818	0.1
	"Colorado"	"08"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2005"	"2005"	39	4631888	0.8
	"Colorado"	"08"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2006"	"2006"	27	4720423	0.6
	"Colorado"	"08"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2007"	"2007"	32	4803868	0.7
	"Colorado"	"08"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2008"	"2008"	30	4889730	0.6
	"Colorado"	"08"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2009"	"2009"	32	4972195	0.6
	"Colorado"	"08"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2010"	"2010"	21	5029196	0.4
	"Colorado"	"08"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2011"	"2011"	25	5116796	0.5
	"Colorado"	"08"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2012"	"2012"	28	5187582	0.5
	"Colorado"	"08"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2013"	"2013"	46	5268367	0.9
	"Colorado"	"08"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2014"	"2014"	40	5355866	0.7
	"Colorado"	"08"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2015"	"2015"	43	5456574	0.8
	"Connecticut"	"09"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2005"	"2005"	18	3506956	Unreliable
	"Connecticut"	"09"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2006"	"2006"	10	3517460	Unreliable
	"Connecticut"	"09"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2007"	"2007"	19	3527270	Unreliable
	"Connecticut"	"09"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2008"	"2008"	17	3545579	Unreliable
	"Connecticut"	"09"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2010"	"2010"	17	3574097	Unreliable
	"Connecticut"	"09"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2011"	"2011"	22	3580709	0.6
	"Connecticut"	"09"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2013"	"2013"	13	3596080	Unreliable
	"Connecticut"	"09"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2014"	"2014"	20	3596677	0.6
	"District of Columbia"	"11"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2013"	"2013"	10	646449	Unreliable
	"Florida"	"12"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2005"	"2005"	19	17842038	Unreliable
	"Florida"	"12"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2006"	"2006"	17	18166990	Unreliable
	"Florida"	"12"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2007"	"2007"	12	18367842	Unreliable
	"Florida"	"12"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2008"	"2008"	15	18527305	Unreliable
	"Florida"	"12"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2009"	"2009"	27	18652644	0.1
	"Florida"	"12"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2010"	"2010"	21	18801310	0.1
	"Florida"	"12"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2011"	"2011"	15	19057542	Unreliable
	"Florida"	"12"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2012"	"2012"	10	19317568	Unreliable
	"Florida"	"12"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2013"	"2013"	17	19552860	Unreliable
	"Florida"	"12"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2014"	"2014"	19	19893297	Unreliable
	"Florida"	"12"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2015"	"2015"	16	20271272	Unreliable
	"Florida"	"12"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2005"	"2005"	12	17842038	Unreliable
	"Florida"	"12"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2008"	"2008"	13	18527305	Unreliable
	"Florida"	"12"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2009"	"2009"	15	18652644	Unreliable
	"Florida"	"12"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2010"	"2010"	31	18801310	0.2
	"Florida"	"12"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2011"	"2011"	10	19057542	Unreliable
	"Georgia"	"13"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2005"	"2005"	11	8925922	Unreliable
	"Georgia"	"13"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2009"	"2009"	13	9620846	Unreliable
	"Georgia"	"13"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2010"	"2010"	23	9687653	0.2
	"Georgia"	"13"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2012"	"2012"	13	9919945	Unreliable
	"Georgia"	"13"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2005"	"2005"	12	8925922	Unreliable
	"Georgia"	"13"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2006"	"2006"	14	9155813	Unreliable
	"Georgia"	"13"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2007"	"2007"	13	9349988	Unreliable
	"Georgia"	"13"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2008"	"2008"	19	9504843	Unreliable
	"Georgia"	"13"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2009"	"2009"	15	9620846	Unreliable
	"Georgia"	"13"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2010"	"2010"	29	9687653	0.3
	"Georgia"	"13"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2011"	"2011"	28	9815210	0.3
	"Georgia"	"13"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2012"	"2012"	16	9919945	Unreliable
	"Georgia"	"13"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2013"	"2013"	19	9992167	Unreliable
	"Georgia"	"13"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2014"	"2014"	49	10097343	0.5
	"Georgia"	"13"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2015"	"2015"	27	10214860	0.3
	"Idaho"	"16"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2006"	"2006"	13	1468669	Unreliable
	"Idaho"	"16"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2007"	"2007"	20	1505105	1.3
	"Idaho"	"16"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2008"	"2008"	16	1534320	Unreliable
	"Idaho"	"16"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2009"	"2009"	12	1554439	Unreliable
	"Idaho"	"16"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2011"	"2011"	10	1584985	Unreliable
	"Idaho"	"16"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2012"	"2012"	12	1595728	Unreliable
	"Idaho"	"16"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2013"	"2013"	17	1612136	Unreliable
	"Idaho"	"16"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2014"	"2014"	25	1634464	1.5
	"Idaho"	"16"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2015"	"2015"	18	1654930	Unreliable
	"Illinois"	"17"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2005"	"2005"	11	12609903	Unreliable
	"Illinois"	"17"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2006"	"2006"	19	12643955	Unreliable
	"Illinois"	"17"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2009"	"2009"	17	12796778	Unreliable
	"Illinois"	"17"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2011"	"2011"	24	12869257	0.2
	"Illinois"	"17"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2012"	"2012"	17	12875255	Unreliable
	"Illinois"	"17"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2005"	"2005"	38	12609903	0.3
	"Illinois"	"17"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2006"	"2006"	32	12643955	0.3
	"Illinois"	"17"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2007"	"2007"	57	12695866	0.4
	"Illinois"	"17"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2008"	"2008"	55	12747038	0.4
	"Illinois"	"17"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2009"	"2009"	30	12796778	0.2
	"Illinois"	"17"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2010"	"2010"	31	12830632	0.2
	"Illinois"	"17"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2011"	"2011"	32	12869257	0.2
	"Illinois"	"17"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2012"	"2012"	37	12875255	0.3
	"Illinois"	"17"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2013"	"2013"	66	12882135	0.5
	"Illinois"	"17"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2014"	"2014"	81	12880580	0.6
	"Illinois"	"17"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2015"	"2015"	43	12859995	0.3
	"Indiana"	"18"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2006"	"2006"	10	6332669	Unreliable
	"Indiana"	"18"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2011"	"2011"	12	6516922	Unreliable
	"Indiana"	"18"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2012"	"2012"	15	6537334	Unreliable
	"Indiana"	"18"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2005"	"2005"	25	6278616	0.4
	"Indiana"	"18"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2006"	"2006"	12	6332669	Unreliable
	"Indiana"	"18"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2007"	"2007"	26	6379599	0.4
	"Indiana"	"18"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2008"	"2008"	22	6424806	0.3
	"Indiana"	"18"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2009"	"2009"	21	6459325	0.3
	"Indiana"	"18"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2010"	"2010"	23	6483802	0.4
	"Indiana"	"18"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2011"	"2011"	36	6516922	0.6
	"Indiana"	"18"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2012"	"2012"	22	6537334	0.3
	"Indiana"	"18"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2013"	"2013"	36	6570902	0.5
	"Indiana"	"18"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2014"	"2014"	53	6596855	0.8
	"Indiana"	"18"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2015"	"2015"	44	6619680	0.7
	"Iowa"	"19"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2007"	"2007"	17	2999212	Unreliable
	"Iowa"	"19"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2008"	"2008"	20	3016734	0.7
	"Iowa"	"19"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2009"	"2009"	11	3032870	Unreliable
	"Iowa"	"19"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2010"	"2010"	18	3046355	Unreliable
	"Iowa"	"19"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2011"	"2011"	16	3062309	Unreliable
	"Iowa"	"19"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2012"	"2012"	18	3074186	Unreliable
	"Iowa"	"19"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2013"	"2013"	27	3090416	0.9
	"Iowa"	"19"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2014"	"2014"	22	3107126	0.7
	"Iowa"	"19"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2015"	"2015"	17	3123899	Unreliable
	"Kansas"	"20"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2006"	"2006"	17	2762931	Unreliable
	"Kansas"	"20"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2011"	"2011"	28	2871238	1.0
	"Kansas"	"20"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2010"	"2010"	11	2853118	Unreliable
	"Kansas"	"20"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2011"	"2011"	12	2871238	Unreliable
	"Kansas"	"20"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2012"	"2012"	10	2885905	Unreliable
	"Kansas"	"20"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2013"	"2013"	14	2893957	Unreliable
	"Kansas"	"20"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2014"	"2014"	13	2904021	Unreliable
	"Kansas"	"20"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2015"	"2015"	11	2911641	Unreliable
	"Kentucky"	"21"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2010"	"2010"	10	4339367	Unreliable
	"Kentucky"	"21"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2011"	"2011"	12	4369356	Unreliable
	"Kentucky"	"21"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2005"	"2005"	22	4182742	0.5
	"Kentucky"	"21"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2006"	"2006"	11	4219239	Unreliable
	"Kentucky"	"21"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2007"	"2007"	23	4256672	0.5
	"Kentucky"	"21"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2008"	"2008"	24	4289878	0.6
	"Kentucky"	"21"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2009"	"2009"	27	4317074	0.6
	"Kentucky"	"21"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2010"	"2010"	22	4339367	0.5
	"Kentucky"	"21"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2011"	"2011"	23	4369356	0.5
	"Kentucky"	"21"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2012"	"2012"	22	4380415	0.5
	"Kentucky"	"21"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2013"	"2013"	27	4395295	0.6
	"Kentucky"	"21"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2014"	"2014"	25	4413457	0.6
	"Kentucky"	"21"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2015"	"2015"	29	4425092	0.7
	"Louisiana"	"22"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2005"	"2005"	14	4576628	Unreliable
	"Louisiana"	"22"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2009"	"2009"	11	4491648	Unreliable
	"Louisiana"	"22"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2010"	"2010"	15	4533372	Unreliable
	"Louisiana"	"22"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2011"	"2011"	17	4574836	Unreliable
	"Louisiana"	"22"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2012"	"2012"	11	4601893	Unreliable
	"Louisiana"	"22"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2010"	"2010"	11	4533372	Unreliable
	"Louisiana"	"22"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2013"	"2013"	13	4625470	Unreliable
	"Louisiana"	"22"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2014"	"2014"	22	4649676	0.5
	"Louisiana"	"22"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2015"	"2015"	12	4670724	Unreliable
	"Maine"	"23"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2005"	"2005"	18	1318787	Unreliable
	"Maine"	"23"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2006"	"2006"	11	1323619	Unreliable
	"Maine"	"23"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2007"	"2007"	17	1327040	Unreliable
	"Maine"	"23"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2008"	"2008"	11	1330509	Unreliable
	"Maine"	"23"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2009"	"2009"	10	1329590	Unreliable
	"Maine"	"23"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2011"	"2011"	11	1328188	Unreliable
	"Maine"	"23"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2012"	"2012"	15	1329192	Unreliable
	"Maine"	"23"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2015"	"2015"	13	1329328	Unreliable
	"Maryland"	"24"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2005"	"2005"	16	5592379	Unreliable
	"Maryland"	"24"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2006"	"2006"	10	5627367	Unreliable
	"Maryland"	"24"	"Exposure to excessive natural heat (hyperthermia)"	"X30"	"2012"	"2012"	15	5884563	Unreliable
	"Maryland"	"24"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2005"	"2005"	23	5592379	0.4
	"Maryland"	"24"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2006"	"2006"	16	5627367	Unreliable
	"Maryland"	"24"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2007"	"2007"	30	5653408	0.5
	"Maryland"	"24"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2008"	"2008"	27	5684965	0.5
	"Maryland"	"24"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2009"	"2009"	22	5730388	0.4
	"Maryland"	"24"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2010"	"2010"	27	5773552	0.5
	"Maryland"	"24"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2011"	"2011"	21	5828289	0.4
	"Maryland"	"24"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2012"	"2012"	19	5884563	Unreliable
	"Maryland"	"24"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2013"	"2013"	31	5928814	0.5
	"Maryland"	"24"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2014"	"2014"	39	5976407	0.7
	"Maryland"	"24"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2015"	"2015"	22	6006401	0.4
	"Massachusetts"	"25"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2005"	"2005"	16	6403290	Unreliable
	"Massachusetts"	"25"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2007"	"2007"	21	6431559	0.3
	"Massachusetts"	"25"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2008"	"2008"	17	6468967	Unreliable
	"Massachusetts"	"25"	"Exposure to excessive natural cold (hypothermia)"	"X31"	"2009"	"2009"	15	6517613	Unreliable
