"Notes"	"State"	"State Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Open wound of other parts of head"	"S01.8"	18	4858979	Unreliable
	"Alabama"	"01"	"Open wound of head, part unspecified"	"S01.9"	509	4858979	10.5
	"Alabama"	"01"	"Diffuse brain injury"	"S06.2"	15	4858979	Unreliable
	"Alabama"	"01"	"Traumatic subdural haemorrhage"	"S06.5"	107	4858979	2.2
	"Alabama"	"01"	"Traumatic subarachnoid haemorrhage"	"S06.6"	17	4858979	Unreliable
	"Alabama"	"01"	"Other intracranial injuries"	"S06.8"	53	4858979	1.1
	"Alabama"	"01"	"Intracranial injury, unspecified"	"S06.9"	131	4858979	2.7
	"Alabama"	"01"	"Multiple injuries of head"	"S09.7"	13	4858979	Unreliable
	"Alabama"	"01"	"Unspecified injury of head"	"S09.9"	224	4858979	4.6
	"Alabama"	"01"	"Open wound of neck, part unspecified"	"S11.9"	26	4858979	0.5
	"Alabama"	"01"	"Fracture of neck, part unspecified"	"S12.9"	34	4858979	0.7
	"Alabama"	"01"	"Other and unspecified injuries of cervical spinal cord"	"S14.1"	10	4858979	Unreliable
	"Alabama"	"01"	"Unspecified injury of neck"	"S19.9"	35	4858979	0.7
	"Alabama"	"01"	"Open wound of back wall of thorax"	"S21.2"	16	4858979	Unreliable
	"Alabama"	"01"	"Open wound of thorax, part unspecified"	"S21.9"	129	4858979	2.7
	"Alabama"	"01"	"Fracture of rib"	"S22.3"	11	4858979	Unreliable
	"Alabama"	"01"	"Injury of thoracic aorta"	"S25.0"	31	4858979	0.6
	"Alabama"	"01"	"Injury of heart, unspecified"	"S26.9"	37	4858979	0.8
	"Alabama"	"01"	"Other injuries of lung"	"S27.3"	57	4858979	1.2
	"Alabama"	"01"	"Injury of other specified intrathoracic organs"	"S27.8"	11	4858979	Unreliable
	"Alabama"	"01"	"Unspecified injury of thorax"	"S29.9"	57	4858979	1.2
	"Alabama"	"01"	"Open wound of other and unspecified parts of abdomen"	"S31.8"	26	4858979	0.5
	"Alabama"	"01"	"Fracture of other and unspecified parts of lumbar spine and pelvis"	"S32.8"	13	4858979	Unreliable
	"Alabama"	"01"	"Injury of spleen"	"S36.0"	10	4858979	Unreliable
	"Alabama"	"01"	"Injury of liver or gallbladder"	"S36.1"	20	4858979	0.4
	"Alabama"	"01"	"Injury of kidney"	"S37.0"	12	4858979	Unreliable
	"Alabama"	"01"	"Unspecified injury of abdomen, lower back and pelvis"	"S39.9"	14	4858979	Unreliable
	"Alabama"	"01"	"Fracture of neck of femur"	"S72.0"	78	4858979	1.6
	"Alabama"	"01"	"Fracture of femur, part unspecified"	"S72.9"	15	4858979	Unreliable
	"Alabama"	"01"	"Multiple open wounds, unspecified"	"T01.9"	132	4858979	2.7
	"Alabama"	"01"	"Injuries of intrathoracic organs with intra-abdominal and pelvic organs"	"T06.5"	22	4858979	0.5
	"Alabama"	"01"	"Unspecified multiple injuries"	"T07"	335	4858979	6.9
	"Alabama"	"01"	"Open wound of trunk, level unspecified"	"T09.1"	36	4858979	0.7
	"Alabama"	"01"	"Injury of spinal cord, level unspecified"	"T09.3"	15	4858979	Unreliable
	"Alabama"	"01"	"Unspecified injury of trunk, level unspecified"	"T09.9"	160	4858979	3.3
	"Alabama"	"01"	"Open wound of upper limb, level unspecified"	"T11.1"	10	4858979	Unreliable
	"Alabama"	"01"	"Open wound of unspecified body region"	"T14.1"	550	4858979	11.3
	"Alabama"	"01"	"Crushing injury and traumatic amputation of unspecified body region"	"T14.7"	10	4858979	Unreliable
	"Alabama"	"01"	"Injury, unspecified"	"T14.9"	400	4858979	8.2
	"Alabama"	"01"	"Foreign body in respiratory tract, part unspecified"	"T17.9"	98	4858979	2.0
	"Alabama"	"01"	"Burn of unspecified degree of trunk"	"T21.0"	16	4858979	Unreliable
	"Alabama"	"01"	"Burn of unspecified body region, unspecified degree"	"T30.0"	43	4858979	0.9
	"Alabama"	"01"	"Heroin"	"T40.1"	111	4858979	2.3
	"Alabama"	"01"	"Other opioids"	"T40.2"	88	4858979	1.8
	"Alabama"	"01"	"Methadone"	"T40.3"	43	4858979	0.9
	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	72	4858979	1.5
	"Alabama"	"01"	"Cocaine"	"T40.5"	38	4858979	0.8
	"Alabama"	"01"	"Other and unspecified narcotics"	"T40.6"	21	4858979	0.4
	"Alabama"	"01"	"Benzodiazepines"	"T42.4"	50	4858979	1.0
	"Alabama"	"01"	"Other and unspecified antidepressants"	"T43.2"	12	4858979	Unreliable
	"Alabama"	"01"	"Psychostimulants with abuse potential"	"T43.6"	41	4858979	0.8
	"Alabama"	"01"	"Antiallergic and antiemetic drugs"	"T45.0"	14	4858979	Unreliable
	"Alabama"	"01"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	480	4858979	9.9
	"Alabama"	"01"	"Ethanol"	"T51.0"	81	4858979	1.7
	"Alabama"	"01"	"Alcohol, unspecified"	"T51.9"	40	4858979	0.8
	"Alabama"	"01"	"Toxic effect of carbon monoxide"	"T58"	23	4858979	0.5
	"Alabama"	"01"	"Other specified gases, fumes and vapours"	"T59.8"	79	4858979	1.6
	"Alabama"	"01"	"Hypothermia"	"T68"	14	4858979	Unreliable
	"Alabama"	"01"	"Asphyxiation"	"T71"	175	4858979	3.6
	"Alabama"	"01"	"Drowning and nonfatal submersion"	"T75.1"	104	4858979	2.1
	"Alabama"	"01"	"Traumatic shock"	"T79.4"	19	4858979	Unreliable
	"Alabama"	"01"	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	"V03.1"	19	4858979	Unreliable
	"Alabama"	"01"	"Pedestrian injured in traffic accident involving other and unspecified motor vehicles"	"V09.2"	85	4858979	1.7
	"Alabama"	"01"	"Motorcycle rider [any] injured in unspecified traffic accident"	"V29.9"	33	4858979	0.7
	"Alabama"	"01"	"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V43.5"	10	4858979	Unreliable
	"Alabama"	"01"	"Car occupant [any] injured in unspecified traffic accident"	"V49.9"	63	4858979	1.3
	"Alabama"	"01"	"Unspecified occupant of all-terrain or other off-road motor vehicle injured in nontraffic accident"	"V86.9"	10	4858979	Unreliable
	"Alabama"	"01"	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	124	4858979	2.6
	"Alabama"	"01"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	453	4858979	9.3
	"Alabama"	"01"	"Fall on and from stairs and steps"	"W10"	14	4858979	Unreliable
	"Alabama"	"01"	"Other fall on same level"	"W18"	47	4858979	1.0
	"Alabama"	"01"	"Unspecified fall"	"W19"	163	4858979	3.4
	"Alabama"	"01"	"Struck by thrown, projected or falling object"	"W20"	14	4858979	Unreliable
	"Alabama"	"01"	"Discharge from other and unspecified firearms"	"W34"	18	4858979	Unreliable
	"Alabama"	"01"	"Drowning and submersion while in natural water"	"W69"	28	4858979	0.6
	"Alabama"	"01"	"Unspecified drowning and submersion"	"W74"	16	4858979	Unreliable
	"Alabama"	"01"	"Inhalation and ingestion of food causing obstruction of respiratory tract"	"W79"	11	4858979	Unreliable
	"Alabama"	"01"	"Inhalation and ingestion of other objects causing obstruction of respiratory tract"	"W80"	82	4858979	1.7
	"Alabama"	"01"	"Exposure to uncontrolled fire in building or structure"	"X00"	65	4858979	1.3
	"Alabama"	"01"	"Exposure to unspecified smoke, fire and flames"	"X09"	17	4858979	Unreliable
	"Alabama"	"01"	"Exposure to excessive natural cold (hypothermia)"	"X31"	15	4858979	Unreliable
	"Alabama"	"01"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	35	4858979	0.7
	"Alabama"	"01"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	218	4858979	4.5
	"Alabama"	"01"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	411	4858979	8.5
	"Alabama"	"01"	"Accidental poisoning by and exposure to alcohol"	"X45"	102	4858979	2.1
	"Alabama"	"01"	"Accidental poisoning by and exposure to other gases and vapours"	"X47"	16	4858979	Unreliable
	"Alabama"	"01"	"Exposure to unspecified factor causing fracture"	"X59.0"	101	4858979	2.1
	"Alabama"	"01"	"Exposure to unspecified factor causing other and unspecified injury"	"X59.9"	130	4858979	2.7
	"Alabama"	"01"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	38	4858979	0.8
	"Alabama"	"01"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	17	4858979	Unreliable
	"Alabama"	"01"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	133	4858979	2.7
	"Alabama"	"01"	"Intentional self-harm by handgun discharge"	"X72"	59	4858979	1.2
	"Alabama"	"01"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	49	4858979	1.0
	"Alabama"	"01"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	420	4858979	8.6
	"Alabama"	"01"	"Intentional self-harm by sharp object"	"X78"	10	4858979	Unreliable
	"Alabama"	"01"	"Assault by handgun discharge"	"X93"	39	4858979	0.8
	"Alabama"	"01"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	15	4858979	Unreliable
	"Alabama"	"01"	"Assault by other and unspecified firearm discharge"	"X95"	338	4858979	7.0
	"Alabama"	"01"	"Assault by sharp object"	"X99"	33	4858979	0.7
	"Alabama"	"01"	"Assault by unspecified means"	"Y09"	33	4858979	0.7
	"Alabama"	"01"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	28	4858979	0.6
	"Alabama"	"01"	"Other and unspecified firearm discharge, undetermined intent"	"Y24"	14	4858979	Unreliable
	"Alabama"	"01"	"Unspecified event, undetermined intent"	"Y34"	11	4858979	Unreliable
	"Alabama"	"01"	"Surgical procedure, unspecified"	"Y83.9"	18	4858979	Unreliable
	"Alabama"	"01"	"Sequelae of other accidents"	"Y86"	13	4858979	Unreliable
	"Alaska"	"02"	"Unspecified dementia"	"F03"	13	738432	Unreliable
	"Alaska"	"02"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	17	738432	Unreliable
	"Alaska"	"02"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	42	738432	5.7
	"Alaska"	"02"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	27	738432	3.7
	"Alaska"	"02"	"Essential (primary) hypertension"	"I10"	20	738432	2.7
	"Alaska"	"02"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	50	738432	6.8
	"Alaska"	"02"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	38	738432	5.1
	"Alaska"	"02"	"Atherosclerotic heart disease"	"I25.1"	10	738432	Unreliable
	"Alaska"	"02"	"Cardiomegaly"	"I51.7"	13	738432	Unreliable
	"Alaska"	"02"	"Emphysema, unspecified"	"J43.9"	10	738432	Unreliable
	"Alaska"	"02"	"Open wound of lip and oral cavity"	"S01.5"	23	738432	3.1
	"Alaska"	"02"	"Open wound of head, part unspecified"	"S01.9"	108	738432	14.6
	"Alaska"	"02"	"Fracture of skull and facial bones, part unspecified"	"S02.9"	10	738432	Unreliable
	"Alaska"	"02"	"Intracranial injury, unspecified"	"S06.9"	62	738432	8.4
	"Alaska"	"02"	"Multiple injuries of head"	"S09.7"	19	738432	Unreliable
	"Alaska"	"02"	"Unspecified injury of head"	"S09.9"	76	738432	10.3
	"Alaska"	"02"	"Unspecified injury of neck"	"S19.9"	10	738432	Unreliable
	"Alaska"	"02"	"Open wound of thorax, part unspecified"	"S21.9"	12	738432	Unreliable
	"Alaska"	"02"	"Traumatic haemothorax"	"S27.1"	12	738432	Unreliable
	"Alaska"	"02"	"Injury of multiple intra-abdominal organs"	"S36.7"	12	738432	Unreliable
	"Alaska"	"02"	"Injury of other intra-abdominal organs"	"S36.8"	23	738432	3.1
	"Alaska"	"02"	"Fracture of neck of femur"	"S72.0"	13	738432	Unreliable
	"Alaska"	"02"	"Unspecified multiple injuries"	"T07"	34	738432	4.6
	"Alaska"	"02"	"Open wound of trunk, level unspecified"	"T09.1"	40	738432	5.4
	"Alaska"	"02"	"Unspecified injury of trunk, level unspecified"	"T09.9"	62	738432	8.4
	"Alaska"	"02"	"Open wound of unspecified body region"	"T14.1"	130	738432	17.6
	"Alaska"	"02"	"Injury, unspecified"	"T14.9"	49	738432	6.6
	"Alaska"	"02"	"Foreign body in respiratory tract, part unspecified"	"T17.9"	20	738432	2.7
	"Alaska"	"02"	"Burn of unspecified body region, unspecified degree"	"T30.0"	11	738432	Unreliable
	"Alaska"	"02"	"Heroin"	"T40.1"	38	738432	5.1
	"Alaska"	"02"	"Other opioids"	"T40.2"	51	738432	6.9
	"Alaska"	"02"	"Methadone"	"T40.3"	10	738432	Unreliable
	"Alaska"	"02"	"Other synthetic narcotics"	"T40.4"	15	738432	Unreliable
	"Alaska"	"02"	"Other and unspecified narcotics"	"T40.6"	18	738432	Unreliable
	"Alaska"	"02"	"Benzodiazepines"	"T42.4"	19	738432	Unreliable
	"Alaska"	"02"	"Psychostimulants with abuse potential"	"T43.6"	29	738432	3.9
	"Alaska"	"02"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	102	738432	13.8
	"Alaska"	"02"	"Ethanol"	"T51.0"	59	738432	8.0
	"Alaska"	"02"	"Alcohol, unspecified"	"T51.9"	17	738432	Unreliable
	"Alaska"	"02"	"Toxic effect of carbon monoxide"	"T58"	18	738432	Unreliable
	"Alaska"	"02"	"Other specified gases, fumes and vapours"	"T59.8"	18	738432	Unreliable
	"Alaska"	"02"	"Hypothermia"	"T68"	31	738432	4.2
	"Alaska"	"02"	"Effect of reduced temperature, unspecified"	"T69.9"	20	738432	2.7
	"Alaska"	"02"	"Asphyxiation"	"T71"	80	738432	10.8
	"Alaska"	"02"	"Drowning and nonfatal submersion"	"T75.1"	52	738432	7.0
	"Alaska"	"02"	"Pedestrian injured in traffic accident involving other and unspecified motor vehicles"	"V09.2"	10	738432	Unreliable
	"Alaska"	"02"	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	10	738432	Unreliable
	"Alaska"	"02"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	14	738432	Unreliable
	"Alaska"	"02"	"Other fall on same level"	"W18"	33	738432	4.5
	"Alaska"	"02"	"Drowning and submersion while in natural water"	"W69"	12	738432	Unreliable
	"Alaska"	"02"	"Inhalation and ingestion of other objects causing obstruction of respiratory tract"	"W80"	13	738432	Unreliable
	"Alaska"	"02"	"Exposure to excessive natural cold (hypothermia)"	"X31"	28	738432	3.8
	"Alaska"	"02"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	12	738432	Unreliable
	"Alaska"	"02"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	49	738432	6.6
	"Alaska"	"02"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	48	738432	6.5
	"Alaska"	"02"	"Accidental poisoning by and exposure to alcohol"	"X45"	64	738432	8.7
	"Alaska"	"02"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	53	738432	7.2
	"Alaska"	"02"	"Intentional self-harm by handgun discharge"	"X72"	64	738432	8.7
	"Alaska"	"02"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	21	738432	2.8
	"Alaska"	"02"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	38	738432	5.1
	"Alaska"	"02"	"Assault by other and unspecified firearm discharge"	"X95"	33	738432	4.5
	"Arizona"	"04"	"Septicaemia, unspecified"	"A41.9"	48	6828065	0.7
	"Arizona"	"04"	"Chronic viral hepatitis C"	"B18.2"	16	6828065	Unreliable
	"Arizona"	"04"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	13	6828065	Unreliable
	"Arizona"	"04"	"Malignant neoplasm of prostate"	"C61"	13	6828065	Unreliable
	"Arizona"	"04"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	16	6828065	Unreliable
	"Arizona"	"04"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	10	6828065	Unreliable
	"Arizona"	"04"	"Unspecified diabetes mellitus, without complications"	"E14.9"	122	6828065	1.8
	"Arizona"	"04"	"Other obesity"	"E66.8"	19	6828065	Unreliable
	"Arizona"	"04"	"Obesity, unspecified"	"E66.9"	31	6828065	0.5
	"Arizona"	"04"	"Hyperlipidaemia, unspecified"	"E78.5"	21	6828065	0.3
	"Arizona"	"04"	"Unspecified dementia"	"F03"	161	6828065	2.4
	"Arizona"	"04"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	48	6828065	0.7
	"Arizona"	"04"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	86	6828065	1.3
	"Arizona"	"04"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	102	6828065	1.5
	"Arizona"	"04"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	18	6828065	Unreliable
	"Arizona"	"04"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	42	6828065	0.6
	"Arizona"	"04"	"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder"	"F14.9"	23	6828065	0.3
	"Arizona"	"04"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use"	"F15.1"	24	6828065	0.4
	"Arizona"	"04"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder"	"F15.9"	44	6828065	0.6
	"Arizona"	"04"	"Mental and behavioural disorders due to use of tobacco, harmful use"	"F17.1"	10	6828065	Unreliable
	"Arizona"	"04"	"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder"	"F17.9"	106	6828065	1.6
	"Arizona"	"04"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	180	6828065	2.6
	"Arizona"	"04"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	176	6828065	2.6
	"Arizona"	"04"	"Depressive episode, unspecified"	"F32.9"	42	6828065	0.6
	"Arizona"	"04"	"Parkinson's disease"	"G20"	16	6828065	Unreliable
	"Arizona"	"04"	"Alzheimer's disease, unspecified"	"G30.9"	27	6828065	0.4
	"Arizona"	"04"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	16	6828065	Unreliable
	"Arizona"	"04"	"Essential (primary) hypertension"	"I10"	154	6828065	2.3
	"Arizona"	"04"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	248	6828065	3.6
	"Arizona"	"04"	"Hypertensive renal disease with renal failure"	"I12.0"	10	6828065	Unreliable
	"Arizona"	"04"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	316	6828065	4.6
	"Arizona"	"04"	"Atherosclerotic heart disease"	"I25.1"	73	6828065	1.1
	"Arizona"	"04"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	24	6828065	0.4
	"Arizona"	"04"	"Cardiac arrest, unspecified"	"I46.9"	70	6828065	1.0
	"Arizona"	"04"	"Atrial fibrillation and flutter"	"I48"	61	6828065	0.9
	"Arizona"	"04"	"Congestive heart failure"	"I50.0"	33	6828065	0.5
	"Arizona"	"04"	"Cardiovascular disease, unspecified"	"I51.6"	36	6828065	0.5
	"Arizona"	"04"	"Cardiomegaly"	"I51.7"	17	6828065	Unreliable
	"Arizona"	"04"	"Stroke, not specified as haemorrhage or infarction"	"I64"	20	6828065	0.3
	"Arizona"	"04"	"Peripheral vascular disease, unspecified"	"I73.9"	13	6828065	Unreliable
	"Arizona"	"04"	"Phlebitis and thrombophlebitis of other deep vessels of lower extremities"	"I80.2"	16	6828065	Unreliable
	"Arizona"	"04"	"Bronchopneumonia, unspecified"	"J18.0"	13	6828065	Unreliable
	"Arizona"	"04"	"Pneumonia, unspecified"	"J18.9"	48	6828065	0.7
	"Arizona"	"04"	"Emphysema, unspecified"	"J43.9"	11	6828065	Unreliable
	"Arizona"	"04"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	117	6828065	1.7
	"Arizona"	"04"	"Pneumonitis due to food and vomit"	"J69.0"	21	6828065	0.3
	"Arizona"	"04"	"Acute respiratory failure"	"J96.0"	19	6828065	Unreliable
	"Arizona"	"04"	"Respiratory failure, unspecified"	"J96.9"	29	6828065	0.4
	"Arizona"	"04"	"Alcoholic cirrhosis of liver"	"K70.3"	15	6828065	Unreliable
	"Arizona"	"04"	"Other and unspecified cirrhosis of liver"	"K74.6"	30	6828065	0.4
	"Arizona"	"04"	"Chronic renal failure, unspecified"	"N18.9"	10	6828065	Unreliable
	"Arizona"	"04"	"Urinary tract infection, site not specified"	"N39.0"	10	6828065	Unreliable
	"Arizona"	"04"	"Asphyxia"	"R09.0"	10	6828065	Unreliable
	"Arizona"	"04"	"Respiratory arrest"	"R09.2"	12	6828065	Unreliable
	"Arizona"	"04"	"Dysphagia"	"R13"	11	6828065	Unreliable
	"Arizona"	"04"	"Senility"	"R54"	85	6828065	1.2
	"Arizona"	"04"	"Other and unspecified convulsions"	"R56.8"	32	6828065	0.5
	"Arizona"	"04"	"Cachexia"	"R64"	17	6828065	Unreliable
	"Arizona"	"04"	"Other specified general symptoms and signs"	"R68.8"	11	6828065	Unreliable
	"Arizona"	"04"	"Other ill-defined and unspecified causes of mortality"	"R99"	19	6828065	Unreliable
	"Arizona"	"04"	"Open wound of lip and oral cavity"	"S01.5"	14	6828065	Unreliable
	"Arizona"	"04"	"Open wound of head, part unspecified"	"S01.9"	686	6828065	10.0
	"Arizona"	"04"	"Diffuse brain injury"	"S06.2"	19	6828065	Unreliable
	"Arizona"	"04"	"Traumatic subdural haemorrhage"	"S06.5"	128	6828065	1.9
	"Arizona"	"04"	"Traumatic subarachnoid haemorrhage"	"S06.6"	14	6828065	Unreliable
	"Arizona"	"04"	"Other intracranial injuries"	"S06.8"	36	6828065	0.5
